familia,nombre,Ag,bf,tf,h,hw,tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,g,fuente
DobleT,HEA100,21.2,10.0,0.8,9.6,5.6,0.5,349.0,72.8,4.06,83.0,134.0,26.8,2.51,40.5,3.75,2581.0,16.7,planilla_MC_2024
DobleT,HEA120,25.3,12.0,0.8,11.4,7.4,0.5,606.0,106.0,4.89,119.0,231.0,38.5,3.02,58.2,4.5,6472.0,19.9,planilla_MC_2024
DobleT,HEA140,31.4,14.0,0.85,13.3,9.2,0.55,1030.0,155.0,5.73,173.0,389.0,55.6,3.52,84.2,6.38,15060.0,24.7,planilla_MC_2024
DobleT,HEA160,38.8,16.0,0.9,15.2,10.4,0.6,1670.0,220.0,6.56,246.0,616.0,77.0,3.98,116.0,8.74,31410.0,30.4,planilla_MC_2024
DobleT,HEA180,45.3,18.0,0.95,17.1,12.2,0.6,2510.0,294.0,7.44,324.0,925.0,103.0,4.52,155.0,11.4,60210.0,35.5,planilla_MC_2024
DobleT,HEA200,53.8,20.0,1.0,19.0,13.4,0.65,3690.0,389.0,8.28,430.0,1340.0,134.0,4.99,202.0,14.9,108000.0,42.3,planilla_MC_2024
DobleT,HEA220,64.3,22.0,1.1,21.0,15.2,0.7,5410.0,515.0,9.17,568.0,1950.0,177.0,5.51,269.0,21.7,193300.0,50.5,planilla_MC_2024
DobleT,HEA240,76.8,24.0,1.2,23.0,16.4,0.75,7760.0,675.0,10.1,744.0,2770.0,231.0,6.01,348.0,30.5,328500.0,60.3,planilla_MC_2024
DobleT,HEA260,86.8,26.0,1.25,25.0,17.7,0.75,10450.0,836.0,11.0,920.0,3679.0,283.0,6.51,426.0,37.0,516400.0,68.2,planilla_MC_2024
DobleT,HEA280,97.3,28.0,1.3,27.0,19.6,0.8,13670.0,1010.0,11.9,1112.0,4760.0,340.0,6.99,514.0,45.2,785400.0,76.4,planilla_MC_2024
DobleT,HEA300,113.0,30.0,1.4,29.0,20.8,0.85,18260.0,1260.0,12.8,1384.0,6310.0,421.0,7.51,635.0,60.2,1200000.0,88.3,planilla_MC_2024
DobleT,HEB100,26.0,10.0,1.0,10.0,5.6,0.6,450.0,88.9,4.16,104.0,167.0,33.5,2.53,50.7,7.24,3375.0,20.4,planilla_MC_2024
DobleT,HEB120,34.0,12.0,1.1,12.0,7.4,0.65,864.0,144.0,5.04,165.0,318.0,52.9,3.06,80.2,11.5,9410.0,26.7,planilla_MC_2024
DobleT,HEB140,43.0,14.0,1.2,14.0,9.2,0.7,1510.0,216.0,5.93,246.0,550.0,78.5,3.58,119.0,17.5,22480.0,33.7,planilla_MC_2024
DobleT,HEB160,54.3,16.0,1.3,16.0,10.4,0.8,2490.0,311.0,6.77,354.0,889.0,111.0,4.05,169.0,25.7,47940.0,42.6,planilla_MC_2024
DobleT,HEB180,65.3,18.0,1.4,18.0,12.2,0.85,3830.0,426.0,7.66,482.0,1360.0,151.0,4.56,230.0,36.0,93750.0,51.2,planilla_MC_2024
DobleT,HEB200,78.1,20.0,1.5,20.0,13.4,0.9,5700.0,570.0,8.54,642.0,2000.0,200.0,5.06,303.0,49.1,171490.0,61.3,planilla_MC_2024
DobleT,HEB220,91.0,22.0,1.6,22.0,15.2,0.95,8090.0,736.0,9.43,828.0,2840.0,258.0,5.59,391.0,65.4,295400.0,71.5,planilla_MC_2024
DobleT,HEB240,106.0,24.0,1.7,24.0,16.4,1.0,11260.0,938.0,10.3,1046.0,3920.0,327.0,6.08,495.0,85.5,486900.0,83.2,planilla_MC_2024
DobleT,HEB260,118.0,26.0,1.75,26.0,17.7,1.0,14920.0,1150.0,11.2,1282.0,5130.0,395.0,6.59,597.0,100.0,753700.0,93.0,planilla_MC_2024
DobleT,HEB280,131.0,28.0,1.8,28.0,19.6,1.05,19270.0,1380.0,12.1,1534.0,3590.0,471.0,7.09,712.0,118.0,1430000.0,103.0,planilla_MC_2024
DobleT,HEB300,149.0,30.0,1.9,30.0,20.8,1.1,25170.0,1680.0,13.0,1868.0,8560.0,571.0,7.58,863.0,149.0,1688000.0,117.0,planilla_MC_2024
DobleT,HEB320,161.0,30.0,2.05,32.0,22.5,1.15,30820.0,1930.0,13.8,2140.0,9240.0,616.0,7.58,932.0,186.0,2069000.0,127.0,planilla_MC_2024
DobleT,HEB340,171.0,30.0,2.15,34.0,24.3,1.2,36660.0,2160.0,14.6,2400.0,9690.0,646.0,7.53,978.0,216.0,2454000.0,134.0,planilla_MC_2024
DobleT,HEB360,181.0,30.0,2.25,36.0,26.1,1.25,43190.0,2400.0,15.4,2680.0,10140.0,676.0,7.48,1025.0,248.0,2883000.0,142.0,planilla_MC_2024
DobleT,HEB400,198.0,30.0,2.4,40.0,29.8,1.35,57680.0,3880.0,17.1,3240.0,10820.0,721.0,7.39,1096.0,305.0,3817000.0,155.0,planilla_MC_2024
DobleT,HEB450,218.0,30.0,2.6,45.0,34.4,1.4,79890.0,3550.0,19.1,3980.0,11720.0,781.0,7.33,1190.0,388.0,5258000.0,171.0,planilla_MC_2024
DobleT,HEB500,239.0,30.0,2.8,50.0,39.0,1.45,17200.0,4290.0,21.2,4820.0,12620.0,842.0,7.27,1283.0,484.0,7018000.0,187.0,planilla_MC_2024
DobleT,HP10X42,79.9998,25.5905,1.0668,24.638,19.9,1.0541,8740.86,709.542982,10.4528,791.495,2984.38,233.241242,6.107769,357.238,33.7147,492194.252323,62.799843,planilla_MC_2024
DobleT,HP10X57,108.387,25.9715,1.4351,25.3746,19.9,1.4351,12237.2,964.523579,10.625575,1089.74,4203.94,323.734863,6.227872,496.528,81.9976,752914.968213,85.083795,planilla_MC_2024
DobleT,HP12X53,99.9998,30.5943,1.1049,29.9212,23.71,1.1049,16357.9,1093.39866,12.789813,1212.64,5286.14,345.563716,7.270592,527.663,46.6179,1269076.115462,78.499843,planilla_MC_2024
DobleT,HP12X63,118.709,30.7975,1.3081,30.3276,23.71,1.3081,19646.1,1295.592134,12.864602,1446.98,6368.34,413.56214,7.324387,634.179,76.1704,1593422.673426,93.186565,planilla_MC_2024
DobleT,HP12X74,140.645,31.0261,1.5494,30.8102,23.71,1.5367,23683.6,1537.386969,12.976624,1720.64,7741.9,499.057245,7.419278,763.637,124.037,2019017.870535,110.406325,planilla_MC_2024
DobleT,HP12X84,158.709,31.2293,1.7399,31.1912,23.71,1.7399,27055.0,1734.78417,13.056386,1966.45,8865.73,567.782819,7.474058,871.792,176.482,2394485.8278,124.586565,planilla_MC_2024
DobleT,HP14X102,193.548,37.5539,1.7907,35.5854,28.6,1.7907,43704.3,2456.305114,15.026843,2769.41,15816.8,842.351926,9.039928,1291.3,224.765,5520325.605123,151.93518,planilla_MC_2024
DobleT,HP14X117,221.935,37.8079,2.0447,36.0934,28.6,2.0447,50780.2,2813.821918,15.126356,3179.09,18439.1,975.409901,9.115006,1497.78,333.818,6697059.052081,174.218975,planilla_MC_2024
DobleT,HP14X73,138.064,37.0459,1.2827,34.5694,28.0,1.2827,30343.3,1755.500529,14.82488,1933.67,10863.6,586.494052,8.870471,894.734,83.6625,3492717.831869,108.38024,planilla_MC_2024
DobleT,HP14X89,168.387,37.3253,1.5621,35.1282,28.0,1.5621,37627.3,2142.284546,14.948487,2392.51,13569.1,727.072522,8.976794,1109.4,149.843,4556276.140963,132.183795,planilla_MC_2024
DobleT,HP8X36,68.387,20.7137,1.1303,20.3708,16.11,1.1303,4953.15,486.299016,8.510478,550.605,1677.41,161.961407,4.952595,249.083,32.0498,193498.182455,53.683795,planilla_MC_2024
DobleT,IPE100,10.3,5.5,0.57,10.0,7.4,0.41,171.0,34.2,4.07,39.0,15.9,5.78,1.24,9.0,0.883,351.0,8.1,planilla_MC_2024
DobleT,IPE120,13.2,6.4,0.63,12.0,9.3,0.44,318.0,53.0,4.91,61.0,27.7,8.66,1.45,13.0,1.37,890.0,10.4,planilla_MC_2024
DobleT,IPE140,16.4,7.3,0.69,14.0,11.2,0.47,541.0,77.3,5.74,88.0,44.9,12.3,1.65,19.0,2.04,1980.0,12.9,planilla_MC_2024
DobleT,IPE160,20.1,8.2,0.74,16.0,12.7,0.5,869.0,109.0,6.58,124.0,68.3,16.7,1.84,26.0,2.82,3959.0,15.8,planilla_MC_2024
DobleT,IPE180,23.9,9.1,0.8,18.0,14.6,0.53,1320.0,147.0,7.43,166.0,101.0,22.2,2.06,34.0,3.92,7431.0,18.8,planilla_MC_2024
DobleT,IPE200,28.5,10.0,0.85,20.0,15.9,0.56,1940.0,194.0,8.25,220.0,142.0,28.4,2.23,44.0,5.17,12990.0,22.4,planilla_MC_2024
DobleT,IPE220,33.4,11.0,0.92,22.0,17.7,0.59,2770.0,252.0,9.11,286.0,205.0,37.3,2.48,57.0,7.09,22670.0,26.2,planilla_MC_2024
DobleT,IPE240,39.1,12.0,0.98,24.0,19.0,0.62,3890.0,324.0,9.97,366.0,284.0,47.3,2.7,73.0,9.28,37390.0,30.7,planilla_MC_2024
DobleT,IPE270,45.9,13.5,1.02,27.0,21.9,0.66,5790.0,429.0,11.2,484.0,420.0,62.2,3.02,96.0,11.9,70580.0,36.1,planilla_MC_2024
DobleT,IPE300,53.8,15.0,1.07,30.0,24.8,0.71,8360.0,557.0,12.5,628.0,604.0,80.5,3.35,124.0,15.6,125900.0,42.2,planilla_MC_2024
DobleT,IPE80,7.64,4.6,0.52,8.0,5.9,0.38,80.1,20.0,3.24,23.0,8.49,3.69,1.05,6.0,0.559,118.0,6.0,planilla_MC_2024
DobleT,IPN100,10.6,5.0,0.68,10.0,7.5,0.45,171.0,34.2,4.01,39.8,12.2,4.88,1.07,8.04,1.31,268.0,8.34,planilla_MC_2024
DobleT,IPN120,14.2,5.8,0.77,12.0,9.2,0.51,328.0,54.7,4.81,63.6,21.5,7.41,1.23,12.24,2.23,685.0,11.1,planilla_MC_2024
DobleT,IPN140,18.2,6.6,0.86,14.0,10.9,0.57,573.0,81.9,5.61,95.4,35.2,10.7,1.4,17.7,3.56,1540.0,14.3,planilla_MC_2024
DobleT,IPN160,22.8,7.4,0.95,16.0,12.5,0.63,935.0,117.0,6.4,136.0,54.7,14.8,1.55,24.55,5.4,3138.0,17.9,planilla_MC_2024
DobleT,IPN180,27.9,8.2,1.04,18.0,14.2,0.69,1450.0,161.0,7.2,187.0,81.3,19.8,1.71,33.0,7.89,5924.0,21.9,planilla_MC_2024
DobleT,IPN200,33.4,9.0,1.13,20.0,15.9,0.75,2140.0,214.0,8.0,250.0,117.0,26.0,1.87,43.16,11.2,10520.0,26.2,planilla_MC_2024
DobleT,IPN220,39.5,9.8,1.22,22.0,17.6,0.81,3060.0,278.0,8.8,324.0,162.0,33.1,2.02,55.21,15.3,17760.0,31.1,planilla_MC_2024
DobleT,IPN240,46.1,10.6,1.31,24.0,19.2,0.87,4250.0,354.0,9.59,412.0,221.0,41.7,2.2,69.37,20.6,28730.0,36.2,planilla_MC_2024
DobleT,IPN260,53.3,11.3,1.41,26.0,20.8,0.94,5740.0,442.0,10.4,514.0,288.0,51.0,2.32,85.11,27.5,44070.0,41.9,planilla_MC_2024
DobleT,IPN280,61.0,11.9,1.52,28.0,22.5,1.01,7590.0,542.0,11.1,632.0,364.0,61.2,2.45,102.1,36.4,64580.0,47.9,planilla_MC_2024
DobleT,IPN300,69.0,12.5,1.62,30.0,24.1,1.08,9800.0,653.0,11.9,762.0,451.0,72.2,2.56,120.6,46.7,91850.0,54.2,planilla_MC_2024
DobleT,IPN80,7.57,4.2,0.59,8.0,5.9,0.39,77.8,19.5,3.2,22.8,6.29,3.0,0.91,4.93,0.71,87.5,5.94,planilla_MC_2024
DobleT,M10X7.5,14.258,6.8326,0.43942,25.3746,23.1775,0.3302,1365.24,107.606819,9.785324,126.672,20.7283,6.067471,1.205737,10.2091,0.832463,3891.68654,11.19253,planilla_MC_2024
DobleT,M10X8,15.1613,6.8326,0.46228,25.273,22.5425,0.35814,1436.0,113.639061,9.732155,133.882,22.3516,6.542634,1.214188,10.8974,0.832463,4069.205738,11.901621,planilla_MC_2024
